dev_stage;v;N;V;N/V;Nucleus_major;Nucleus_minor;h_corr;A_apical;A_basal;AspectRatio_cell;AspectRatio_tissue;A_AVG
20;438.0508711;2177.3;903506.7;0.002409833;NA;NA;42.348625;51115.99035;12625.89965;0.238565673;11.4718926;31870.945
24;267.8732827;3039.6;995010.2;0.003054843;13.08359375;4.303166667;39.16375;52083.06408;15755.65592;0.213178605;11.8322134;33919.36
30;252.969891;5909.1;1353373;0.004366202;13.26534375;4.3309375;45.011;66690.09315;15178.56685;0.222905461;17.56403152;40934.33
36;222.651032;6664.4;1712359;0.003891941;13.0433125;4.0907;46.436;78844.3993;18119.7707;0.21283011;17.6543968;48482.085
42;167.499631;15509.5;3025227;0.005126723;11.24358824;3.885411765;63.24623576;107605.6079;23241.29207;0.24781203;32.76302467;65423.45
48;144.5970241;17955;3981915;0.004509137;11.67566667;3.873588235;63.86417245;128754.7991;31674.90091;0.225604758;31.3984252;80214.85
dev_stage;stdev;stdev;stdev;stdev;stdev;stdev;stdev;stdev;stdev;stdev;stdev;stdev
20;60.36085493;708.4261194;147164.0443;0.000681987;NA;NA;3.978618481;5259.695966;6635.492659;0.027371123;2.215416733;4037.763118
24;33.67174489;555.5736175;242651.6368;0.000575684;1.160096071;0.620223324;5.288990328;8543.313664;1939.298925;0.022695812;1.56417718;4875.858673
30;40.92604694;924.3172195;122049.869;0.000363642;1.370480669;0.38512243;1.772937456;5191.910448;2885.004161;0.011782001;1.296950026;3239.467754
36;37.14234103;2095.622114;435317.3449;0.000645038;1.267110669;0.445937304;3.644914494;16436.82706;3903.82521;0.021690233;2.243644501;8563.537878
42;22.55468539;1117.089497;370756.0651;0.000641157;1.265365802;0.488755136;6.085527333;9164.3857;5712.763062;0.024937918;2.274731662;6262.005804
48;38.07836179;2656.057688;525918.7143;0.000445574;0.865023424;0.392442043;4.536714754;12318.41073;3758.838983;0.011949956;3.195577131;6432.818771